#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Trilateral Retinoblastoma Eric Kraemer , M . D .
1-1	0-10	Trilateral	_	
1-2	11-25	Retinoblastoma	RADLEX	
1-3	26-30	Eric	_	
1-4	31-38	Kraemer	_	
1-5	39-40	,	_	
1-6	41-42	M	_	
1-7	43-44	.	_	
1-8	45-46	D	_	
1-9	47-48	.	_	

#Text=Delilah Burrowes , M . D . Children ' s Memorial Hospital Abstract History of left retinoblastoma , now with new presentation of hydrocephalus .
2-1	49-56	Delilah	_	
2-2	57-65	Burrowes	_	
2-3	66-67	,	_	
2-4	68-69	M	_	
2-5	70-71	.	_	
2-6	72-73	D	_	
2-7	74-75	.	_	
2-8	76-84	Children	_	
2-9	85-86	'	_	
2-10	87-88	s	_	
2-11	89-97	Memorial	_	
2-12	98-106	Hospital	_	
2-13	107-115	Abstract	_	
2-14	116-123	History	_	
2-15	124-126	of	_	
2-16	127-131	left	_	
2-17	132-146	retinoblastoma	RADLEX	
2-18	147-148	,	_	
2-19	149-152	now	_	
2-20	153-157	with	_	
2-21	158-161	new	_	
2-22	162-174	presentation	_	
2-23	175-177	of	_	
2-24	178-191	hydrocephalus	RADLEX	
2-25	192-193	.	_	

#Text=Keywords retinoblastoma , pineal tumor , pineal gland , hydrocephalus , ct , mri Publication Date : 2004 - 06 - 11 History History of left retinoblastoma , now with new presentation of hydrocephalus .
3-1	194-202	Keywords	_	
3-2	203-217	retinoblastoma	RADLEX	
3-3	218-219	,	_	
3-4	220-226	pineal	_	
3-5	227-232	tumor	RADLEX	
3-6	233-234	,	_	
3-7	235-241	pineal	RADLEX[6]	
3-8	242-247	gland	RADLEX[6]	
3-9	248-249	,	_	
3-10	250-263	hydrocephalus	RADLEX	
3-11	264-265	,	_	
3-12	266-268	ct	_	
3-13	269-270	,	_	
3-14	271-274	mri	RADLEX	
3-15	275-286	Publication	_	
3-16	287-291	Date	_	
3-17	292-293	:	_	
3-18	294-298	2004	_	
3-19	299-300	-	_	
3-20	301-303	06	_	
3-21	304-305	-	_	
3-22	306-308	11	_	
3-23	309-316	History	_	
3-24	317-324	History	_	
3-25	325-327	of	_	
3-26	328-332	left	RADLEX	
3-27	333-347	retinoblastoma	RADLEX	
3-28	348-349	,	_	
3-29	350-353	now	_	
3-30	354-358	with	_	
3-31	359-362	new	RADLEX	
3-32	363-375	presentation	_	
3-33	376-378	of	_	
3-34	379-392	hydrocephalus	RADLEX	
3-35	393-394	.	_	

#Text=Findings CT : Orbital prosthesis and new hydrocephalus with midline mass MR : Enhancing pineal mass Diagnosis Trilateral retinoblastoma Differential Germinoma , Teratoma , pineal blastoma , astrocytoma , mets .
4-1	395-403	Findings	_	
4-2	404-406	CT	_	
4-3	407-408	:	_	
4-4	409-416	Orbital	RADLEX[13]	
4-5	417-427	prosthesis	RADLEX[13]	
4-6	428-431	and	_	
4-7	432-435	new	RADLEX	
4-8	436-449	hydrocephalus	RADLEX	
4-9	450-454	with	_	
4-10	455-462	midline	RADLEX	
4-11	463-467	mass	RADLEX	
4-12	468-470	MR	_	
4-13	471-472	:	_	
4-14	473-482	Enhancing	RADLEX	
4-15	483-489	pineal	_	
4-16	490-494	mass	RADLEX	
4-17	495-504	Diagnosis	RADLEX	
4-18	505-515	Trilateral	_	
4-19	516-530	retinoblastoma	RADLEX	
4-20	531-543	Differential	_	
4-21	544-553	Germinoma	RADLEX	
4-22	554-555	,	_	
4-23	556-564	Teratoma	RADLEX	
4-24	565-566	,	_	
4-25	567-573	pineal	_	
4-26	574-582	blastoma	_	
4-27	583-584	,	_	
4-28	585-596	astrocytoma	RADLEX	
4-29	597-598	,	_	
4-30	599-603	mets	_	
4-31	604-605	.	_	

#Text=Discussion Retinoblastoma is the most common primary intraocular tumor of childhood , and should be a primary consideration in the differential diagnosis of leukocoria .
5-1	606-616	Discussion	_	
5-2	617-631	Retinoblastoma	RADLEX	
5-3	632-634	is	_	
5-4	635-638	the	_	
5-5	639-643	most	_	
5-6	644-650	common	_	
5-7	651-658	primary	_	
5-8	659-670	intraocular	RADLEX	
5-9	671-676	tumor	RADLEX	
5-10	677-679	of	_	
5-11	680-689	childhood	_	
5-12	690-691	,	_	
