 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=        Tuberous Sclerosis Brian Fagan, M.D.
1-1	Tuberous	B-RADLEX|B-RADLEX
1-2	Sclerosis	I-RADLEX|B-RADLEX
1-3	Brian	O
1-4	Fagan	O
1-5	,	O
1-6	M	O
1-7	.	O
1-8	D	O
1-9	.	O

#id=2
#text=Francine Kim, M.D.Children's Memorial Hospital  Abstract 3 mo.
2-1	Francine	O
2-2	Kim	O
2-3	,	O
2-4	M	O
2-5	.	O
2-6	D	O
2-7	.	O
2-8	Children	O
2-9	'	O
2-10	s	O
2-11	Memorial	O
2-12	Hospital	O
2-13	Abstract	O
2-14	3	O
2-15	mo	B-RADLEX
2-16	.	O

#id=3
#text=old male with seizures Keywords  Tuberous Sclerosis, MRI, brain    			Publication Date: 2004-05-19                History 3 mo.
3-1	old	B-RADLEX
3-2	male	B-RADLEX
3-3	with	O
3-4	seizures	B-RADLEX
3-5	Keywords	O
3-6	Tuberous	B-RADLEX|B-RADLEX
3-7	Sclerosis	I-RADLEX|B-RADLEX
3-8	,	O
3-9	MRI	B-RADLEX
3-10	,	O
3-11	brain	B-RADLEX
3-12	Publication	O
3-13	Date	O
3-14	:	O
3-15	2004	O
3-16	-	O
3-17	05	O
3-18	-	O
3-19	19	O
3-20	History	O
3-21	3	O
3-22	mo	B-RADLEX
3-23	.	O

#id=4
#text=old male with seizures   Findings  T1 weighted images demonstrate bilateral hyperintense subependymal nodules, the largest adjacent to the left Foramen of Monro.
4-1	old	B-RADLEX
4-2	male	B-RADLEX
4-3	with	O
4-4	seizures	B-RADLEX
4-5	Findings	O
4-6	T1	B-RADLEX|B-RADLEX|B-RADLEX
4-7	weighted	I-RADLEX
4-8	images	O
4-9	demonstrate	O
4-10	bilateral	B-RADLEX
4-11	hyperintense	B-RADLEX
4-12	subependymal	O
4-13	nodules	B-RADLEX|B-RADLEX|B-RADLEX|B-RADLEX|B-RADLEX
4-14	,	O
4-15	the	O
4-16	largest	O
4-17	adjacent	B-RADLEX
4-18	to	O
4-19	the	O
4-20	left	B-RADLEX
