 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=        Child Abuse Olya Polishchuk Mary Wyers, M.D.Children's Memorial Hospital  Abstract 1 year old male with trauma  Keywords lumbar injury, trauma, injury, child abuse, CT, MRI, plain film   			Publication Date: 2004-06-14                History 1 year old male with trauma    Findings CT: Translational injury at the L1/L2 level in the spine.
1-1	Child	B-RADLEX|B-RADLEX
1-2	Abuse	I-RADLEX
1-3	Olya	O
1-4	Polishchuk	O
1-5	Mary	O
1-6	Wyers	O
1-7	,	O
1-8	M	O
1-9	.	O
1-10	D	O
1-11	.	O
1-12	Children	O
1-13	'	O
1-14	s	O
1-15	Memorial	O
1-16	Hospital	O
1-17	Abstract	O
1-18	1	O
1-19	year	O
1-20	old	B-RADLEX
1-21	male	B-RADLEX
1-22	with	O
1-23	trauma	B-RADLEX
1-24	Keywords	O
1-25	lumbar	O
1-26	injury	B-RADLEX
1-27	,	O
1-28	trauma	B-RADLEX
1-29	,	O
1-30	injury	B-RADLEX
1-31	,	O
1-32	child	B-RADLEX|B-RADLEX
1-33	abuse	I-RADLEX
1-34	,	O
1-35	CT	B-RADLEX
1-36	,	O
1-37	MRI	B-RADLEX
1-38	,	O
1-39	plain	O
1-40	film	O
1-41	Publication	O
1-42	Date	O
1-43	:	O
1-44	2004	O
1-45	-	O
1-46	06	O
1-47	-	O
1-48	14	O
1-49	History	O
1-50	1	O
1-51	year	O
1-52	old	B-RADLEX
1-53	male	B-RADLEX
1-54	with	O
1-55	trauma	B-RADLEX
1-56	Findings	O
1-57	CT	B-RADLEX
1-58	:	O
1-59	Translational	O
1-60	injury	B-RADLEX
1-61	at	O
1-62	the	O
1-63	L1	B-RADLEX|B-RADLEX
1-64	/	I-RADLEX
1-65	L2	I-RADLEX|B-RADLEX
1-66	level	O
1-67	in	O
1-68	the	O
1-69	spine	B-RADLEX
1-70	.	O

#id=2
#text=With respect to L1, L2 is displaced almost one vertebral body anteriorly by 12 mm, and left by 4 mm.
2-1	With	O
2-2	respect	O
2-3	to	O
2-4	L1	B-RADLEX|B-RADLEX
2-5	,	I-RADLEX
2-6	L2	I-RADLEX|B-RADLEX
2-7	is	O
2-8	displaced	B-RADLEX
2-9	almost	O
2-10	one	O
2-11	vertebral	B-RADLEX
2-12	body	I-RADLEX|B-RADLEX
2-13	anteriorly	O
2-14	by	O
2-15	12	B-RADLEX
2-16	mm	O
2-17	,	O
2-18	and	O
2-19	left	B-RADLEX
2-20	by	O
2-21	4	O
2-22	mm	O
2-23	.	O

#id=3
#text=There is an associated prevertebral hematoma.
3-1	There	O
3-2	is	O
3-3	an	O
3-4	associated	O
3-5	prevertebral	O
3-6	hematoma	B-RADLEX
3-7	.	O

#id=4
#text= MRI: Grade 3/4 anterolisthesis of L2 on L1 resulting in significant narrowing of the central spinal canal.
4-1	MRI	B-RADLEX
4-2	:	O
4-3	Grade	O
4-4	3	O
4-5	/	O
4-6	4	O
4-7	anterolisthesis	O
4-8	of	O
4-9	L2	B-RADLEX|B-RADLEX
4-10	on	I-RADLEX
4-11	L1	I-RADLEX|B-RADLEX
4-12	resulting	O
4-13	in	O
4-14	significant	O
4-15	narrowing	B-RADLEX
4-16	of	O
4-17	the	O
4-18	central	B-RADLEX
4-19	spinal	B-RADLEX
4-20	canal	I-RADLEX
4-21	.	O

#id=5
#text=A small amount of CSF is noted along the ventral and dorsal aspect of the conus medullaris, however there is no evidence of compression deformity of the conus medullaris.
5-1	A	O
5-2	small	B-RADLEX
5-3	amount	B-RADLEX
5-4	of	O
5-5	CSF	O
5-6	is	O
5-7	noted	O
5-8	along	O
5-9	the	O
5-10	ventral	B-RADLEX
5-11	and	O
5-12	dorsal	B-RADLEX
5-13	aspect	O
5-14	of	O
5-15	the	O
5-16	conus	B-RADLEX
5-17	medullaris	I-RADLEX
5-18	,	O
5-19	however	O
5-20	there	O
5-21	is	O
5-22	no	B-RADLEX
5-23	evidence	O
5-24	of	O
5-25	compression	B-RADLEX
5-26	deformity	B-RADLEX
5-27	of	O
5-28	the	O
5-29	conus	O
5-30	medullaris	O
5-31	.	O

#id=6
#text=Evidence of prevertebral abnormality signal probably representing hemorrhage along the ventral aspect of the vertebral bodies from T11 through L1.
6-1	Evidence	O
6-2	of	O
6-3	prevertebral	O
6-4	abnormality	O
6-5	signal	O
6-6	probably	B-RADLEX
6-7	representing	O
6-8	hemorrhage	B-RADLEX
6-9	along	O
6-10	the	O
6-11	ventral	B-RADLEX
6-12	aspect	O
6-13	of	O
6-14	the	O
6-15	vertebral	B-RADLEX|B-RADLEX
6-16	bodies	I-RADLEX|I-RADLEX|B-RADLEX
6-17	from	I-RADLEX
6-18	T11	I-RADLEX|B-RADLEX
6-19	through	O
6-20	L1	B-RADLEX
6-21	.	O

#id=7
#text=Plain film: Healing fractures of radius and ulna.
7-1	Plain	O
7-2	film	O
7-3	:	O
7-4	Healing	B-RADLEX
7-5	fractures	B-RADLEX|B-RADLEX
7-6	of	O
7-7	radius	B-RADLEX
7-8	and	O
7-9	ulna	B-RADLEX
7-10	.	O

#id=8
#text=  Diagnosis  Child Abuse    Differential True Trauma    Discussion  Child abuse has many names such as nonaccidental trauma, battered child syndrome, shaken infant syndrome, and suspected child abuse and neglect (SCAN).
8-1	Diagnosis	B-RADLEX
8-2	Child	B-RADLEX|B-RADLEX
8-3	Abuse	I-RADLEX
8-4	Differential	O
